"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00495739844521188,2,4,73.6012658227848,"GO:0014826 Vein smooth muscle contraction ","https://amigo.geneontology.org/amigo/term/GO:0014826"," EDN1  EDN2"
0.00495739844521188,2,4,73.6012658227848,"GO:0070384 Harderian gland development ","https://amigo.geneontology.org/amigo/term/GO:0070384"," SOX9  ALDH1A3"
0.00495739844521188,2,4,73.6012658227848,"GO:0071395 Cellular response to jasmonic acid stimulus ","https://amigo.geneontology.org/amigo/term/GO:0071395"," AKR1C1  AKR1C3"
0.00497818402185243,3,19,23.2425049966689,"GO:2000269 Regulation of fibroblast apoptotic process ","https://amigo.geneontology.org/amigo/term/GO:2000269"," GAS6  BBC3  NUPR1"
0.00499929044037819,6,131,6.74210068605662,"GO:0006690 Icosanoid metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0006690"," AKR1C1  AKR1C3  EDN1  EDN2  MGLL  CYP1A1"
0.00509758933153336,11,454,3.56658116321865,"GO:0001503 Ossification ","https://amigo.geneontology.org/amigo/term/GO:0001503"," SOX9  FHL2  ID3  ADAMTS7  IGFBP3  DHRS3  CSF1  TNF  CYP24A1  ACHE  SNAI1"
0.00509758933153336,11,454,3.56658116321865,"GO:0050673 Epithelial cell proliferation ","https://amigo.geneontology.org/amigo/term/GO:0050673"," APOE  TNF  BAX  CDKN1A  SOX9  IGFBP3  NUPR1  CCL5  HMOX1  LOXL2  ATOH8"
0.00513463000332494,6,132,6.69102416570771,"GO:0046683 Response to organophosphorus ","https://amigo.geneontology.org/amigo/term/GO:0046683"," FOSB  FOSL1  SLC5A5  VGF  AKR1C1  TRIM16"
0.00520380716527773,8,247,4.76769333265003,"GO:0001649 Osteoblast differentiation ","https://amigo.geneontology.org/amigo/term/GO:0001649"," FHL2  ID3  SOX9  IGFBP3  TNF  CYP24A1  ACHE  SNAI1"
0.00520380716527773,10,382,3.85346941480549,"GO:0019058 Viral life cycle ","https://amigo.geneontology.org/amigo/term/GO:0019058"," OAS1  APOBEC3H  OASL  IL32  ICAM1  GAS6  IFIT1  TNF  CCL5  APOE"
0.00527280477766729,6,133,6.64071571333397,"GO:0022612 Gland morphogenesis ","https://amigo.geneontology.org/amigo/term/GO:0022612"," NTN4  BAX  SOX9  CSF1  TGM2  TNF"
0.00528942214571902,5,86,8.55828672357963,"GO:0097009 Energy homeostasis ","https://amigo.geneontology.org/amigo/term/GO:0097009"," GDF15  EDN2  VGF  APOE  TSKU"
0.00550968577202031,15,788,2.80207864807556,"GO:0000165 Mapk cascade ","https://amigo.geneontology.org/amigo/term/GO:0000165"," FGF22  EDA2R  EDN1  GADD45A  LIF  APOE  GDF15  PSCA  GAS6  TNF  ACTA2  SOX9  IGFBP3  ATF3  ICAM1"
