"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0627532836643925,11,143,2.2335542110823,"GO:0019783 Ubiquitin-like protein peptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0019783"," SENP1  USP9X  USP28  USP25  USP24  USP1  OTUD4  USPL1  USP15  USP16  MYSM1"
0.0636255683919887,17,266,1.85569729567364,"GO:0019887 Protein kinase regulator activity ","https://amigo.geneontology.org/amigo/term/GO:0019887"," IBTK  DBF4  CCNT1  KIDINS220  CCNA2  CCNB2  CCNE2  NBN  CIT  IL6ST  IQGAP1  TOPBP1  DDX3X  KAT2B  PIK3CA  WNK1  TAOK1"
0.0636255683919887,2,5,11.614481897628,"GO:0038132 Neuregulin binding ","https://amigo.geneontology.org/amigo/term/GO:0038132"," ITGA6  ITGAV"
0.0636255683919887,3,14,6.22204387372927,"GO:0043138 3-prime-5-prime dna helicase activity ","https://amigo.geneontology.org/amigo/term/GO:0043138"," RECQL  MCM6  BLM"
0.0636255683919887,2,5,11.614481897628,"GO:0043559 Insulin binding ","https://amigo.geneontology.org/amigo/term/GO:0043559"," IDE  PIK3R1"
0.0636255683919887,2,5,11.614481897628,"GO:0140346 Phosphatidylserine flippase activity ","https://amigo.geneontology.org/amigo/term/GO:0140346"," ATP11C  ATP8A1"
0.0640930516505097,4,26,4.4671084221646,"GO:0015662 P-type ion transporter activity ","https://amigo.geneontology.org/amigo/term/GO:0015662"," ATP2B4  ATP2B1  ATP7A  ATP13A3"
0.0640930516505097,4,26,4.4671084221646,"GO:0043548 Phosphatidylinositol 3-kinase binding ","https://amigo.geneontology.org/amigo/term/GO:0043548"," PTPN13  JAK2  PIK3R1  CD2AP"
0.0640930516505097,4,26,4.4671084221646,"GO:0140358 P-type transmembrane transporter activity ","https://amigo.geneontology.org/amigo/term/GO:0140358"," ATP2B4  ATP2B1  ATP7A  ATP13A3"
0.0649906749052258,8,89,2.60999593205123,"GO:0030165 Pdz domain binding ","https://amigo.geneontology.org/amigo/term/GO:0030165"," ATP2B4  ATP2B1  KIDINS220  RAPGEF2  KIF14  CIT  ARHGAP29  ERC1"
0.0720756099287573,4,27,4.30165996208443,"GO:0016895 Dna exonuclease activity producing 5-prime-phosphomonoesters ","https://amigo.geneontology.org/amigo/term/GO:0016895"," DCLRE1C  EXO1  DCLRE1A  MRE11"
0.0720756099287573,4,27,4.30165996208443,"GO:0140326 Atpase-coupled intramembrane lipid transporter activity ","https://amigo.geneontology.org/amigo/term/GO:0140326"," ATP11B  ATP11C  ATP8A1  ABCA12"
0.0736976333492406,19,315,1.75139012742009,"GO:0003713 Transcription coactivator activity ","https://amigo.geneontology.org/amigo/term/GO:0003713"," NCOA1  NCOA2  MYSM1  NRIP1  CCAR1  KAT2B  TRIM24  ARID5B  CENPJ  RNF20  USP16  KAT6B  MED14  KDM5A  CEBPZ  BRCA1  BIRC2  MED23  TCERG1"
0.0739099959061925,3,15,5.80724094881398,"GO:0004559 Alpha-mannosidase activity ","https://amigo.geneontology.org/amigo/term/GO:0004559"," MAN2A1  EDEM3  MANEA"
0.0739099959061925,3,15,5.80724094881398,"GO:0061665 Sumo ligase activity ","https://amigo.geneontology.org/amigo/term/GO:0061665"," PIAS1  ZNF451  RANBP2"
0.0768204992346833,5,42,3.4566910409607,"GO:0016896 Rna exonuclease activity producing 5-prime-phosphomonoesters ","https://amigo.geneontology.org/amigo/term/GO:0016896"," DIS3  XRN1  ERI2  CNOT1  PAN3"
0.0793417982062661,4,28,4.14802924915284,"GO:0004529 Dna exonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0004529"," DCLRE1C  EXO1  DCLRE1A  MRE11"
0.0793417982062661,4,28,4.14802924915284,"GO:0008143 Poly(a) binding ","https://amigo.geneontology.org/amigo/term/GO:0008143"," ZC3H14  PAN3  PABPC4L  DDX3X"
0.0818866175516604,2,6,9.67873491468997,"GO:0005167 Neurotrophin trk receptor binding ","https://amigo.geneontology.org/amigo/term/GO:0005167"," PIK3R1  FRS2"
0.0818866175516604,2,6,9.67873491468997,"GO:0005168 Neurotrophin trka receptor binding ","https://amigo.geneontology.org/amigo/term/GO:0005168"," PIK3R1  FRS2"
0.0818866175516604,2,6,9.67873491468997,"GO:0008510 Sodium:bicarbonate symporter activity ","https://amigo.geneontology.org/amigo/term/GO:0008510"," SLC4A7  SLC4A10"
0.0818866175516604,2,6,9.67873491468997,"GO:0009378 Four-way junction helicase activity ","https://amigo.geneontology.org/amigo/term/GO:0009378"," RECQL  BLM"
0.0818866175516604,3,16,5.44428838951311,"GO:0015923 Mannosidase activity ","https://amigo.geneontology.org/amigo/term/GO:0015923"," MAN2A1  EDEM3  MANEA"
0.0818866175516604,2,6,9.67873491468997,"GO:0016728 Oxidoreductase activity acting on ch or ch2 groups disulfide as acceptor ","https://amigo.geneontology.org/amigo/term/GO:0016728"," RRM1  RRM2"
0.0818866175516604,2,6,9.67873491468997,"GO:0042030 Atpase inhibitor activity ","https://amigo.geneontology.org/amigo/term/GO:0042030"," FNIP2  TSC1"
0.0818866175516604,9,113,2.31261807696132,"GO:0043130 Ubiquitin binding ","https://amigo.geneontology.org/amigo/term/GO:0043130"," MARCHF7  NEDD4  BIRC2  USP16  DDI2  N4BP2  SMARCAD1  TOP2A  USP25"
0.0818866175516604,2,6,9.67873491468997,"GO:0070087 Chromo shadow domain binding ","https://amigo.geneontology.org/amigo/term/GO:0070087"," ATRX  NIPBL"
0.0818866175516604,2,6,9.67873491468997,"GO:0090555 Phosphatidylethanolamine flippase activity ","https://amigo.geneontology.org/amigo/term/GO:0090555"," ATP11C  ATP11B"
0.0818866175516604,3,16,5.44428838951311,"GO:0140327 Flippase activity ","https://amigo.geneontology.org/amigo/term/GO:0140327"," ATP11C  ATP8A1  ATP11B"
0.0818866175516604,3,16,5.44428838951311,"GO:0140328 Floppase activity ","https://amigo.geneontology.org/amigo/term/GO:0140328"," ATP11B  ATP11C  ATP8A1"
0.0818866175516604,2,6,9.67873491468997,"GO:1990935 Splicing factor binding ","https://amigo.geneontology.org/amigo/term/GO:1990935"," SF3B1  UHMK1"
0.0842108688281712,10,133,2.18317328902781,"GO:0032182 Ubiquitin-like protein binding ","https://amigo.geneontology.org/amigo/term/GO:0032182"," USPL1  MARCHF7  USP25  NEDD4  BIRC2  USP16  DDI2  N4BP2  SMARCAD1  TOP2A"
0.0848667862139966,5,44,3.29956872091704,"GO:0004532 Rna exonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0004532"," DIS3  XRN1  ERI2  CNOT1  PAN3"
0.0848667862139966,5,44,3.29956872091704,"GO:0048156 Tau protein binding ","https://amigo.geneontology.org/amigo/term/GO:0048156"," HSP90AA1  ROCK1  PRKAA1  ROCK2  TAOK1"
