"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCAPH",355.029016702611,-1.70776330768932,0.192684081552109,-8.86302227943765,7.78740105999012e-19,6.02334978829551e-16
"KIF2C",629.745869834163,-1.06999573001868,0.121142315837772,-8.83255138899251,1.02314691801997e-18,7.51808355361073e-16
"JUP",16226.0238060228,0.791641652641071,0.0904738923919064,8.74994577675415,2.13455287427898e-18,1.49378043049542e-15
"ID3",2839.73219134314,1.12800241518124,0.131927290493158,8.55018253588509,1.22894001214218e-17,8.20931928110975e-15
"MGLL",1132.50703010783,1.05384697889336,0.123447733606354,8.53678676883474,1.38005895104178e-17,8.81797667152609e-15
"MELK",375.061094875319,-1.29525393305321,0.152080886227057,-8.51687523124637,1.63915928584601e-17,1.00371186936637e-14
"TMPO",2117.8987670073,-0.9843346973831,0.115706574990103,-8.50716303258735,1.78240821576211e-17,1.0477708455536e-14
"TCF19",603.628255097613,-1.04531164846342,0.123004457073497,-8.49816074419836,1.92618258290272e-17,1.08873766301301e-14
"ORC1",110.954653938485,-2.03733381799828,0.241136998298767,-8.44886447277594,2.94149687596081e-17,1.6010458551526e-14
"NDC1",358.048151439864,-1.33499554793353,0.159474513325351,-8.37121568892925,5.70268189923055e-17,2.99309332825329e-14
"MKI67",291.035273344189,-1.90503197116492,0.228384805745019,-8.34132535634529,7.3462462831776e-17,3.72277363370959e-14
